Rank,Full Journal Title,ISSN,Total Cites,Journal Impact Factor,Eigenfactor Score
133,PROGRESS IN NEUROBIOLOGY,0301-0082,"13,065",14.163,0.016
134,Chem,2451-9294,997,14.104,0.003
135,Nature Reviews Nephrology,1759-5061,"4,668",14.101,0.017
136,HEPATOLOGY,0270-9139,"63,302",14.079,0.103
137,FUNGAL DIVERSITY,1560-2745,"4,078",14.078,0.007
138,ANNALS OF ONCOLOGY,0923-7534,"38,742",13.93,0.096
139,Annual Review of Entomology,0066-4170,"12,338",13.86,0.009
140,Nature Chemical Biology,1552-4450,"19,562",13.843,0.061
141,Physics of Life Reviews,1571-0645,"1,381",13.783,0.003
142,Annual Review of Physical Chemistry,0066-426X,"8,793",13.738,0.014
143,ACS Nano,1936-0851,"134,596",13.709,0.346
144,ADVANCED DRUG DELIVERY REVIEWS,0169-409X,"34,931",13.66,0.043
145,Light-Science & Applications,2047-7538,"4,249",13.625,0.016
146,TRENDS IN BIOTECHNOLOGY,0167-7799,"14,746",13.578,0.019
147,REVIEWS OF GEOPHYSICS,8755-1209,"10,115",13.529,0.013
148,MICROBIOLOGY AND MOLECULAR BIOLOGY REVIEWS,1092-2172,"11,301",13.439,0.012
149,DIABETES CARE,0149-5992,"67,278",13.397,0.11
150,AMERICAN JOURNAL OF PSYCHIATRY,0002-953X,"42,370",13.396,0.038
150,AMERICAN JOURNAL OF PSYCHIATRY,0002-953X,"42,370",13.396,0.038
152,NATURE STRUCTURAL & MOLECULAR BIOLOGY,1545-9993,"27,547",13.333,0.082
153,ADVANCED FUNCTIONAL MATERIALS,1616-301X,"78,965",13.325,0.163
154,Annual Review of Pharmacology and Toxicology,0362-1642,"7,827",13.295,0.01
155,Annual Review of Clinical Psychology,1548-5943,"4,926",13.278,0.011
155,Annual Review of Clinical Psychology,1548-5943,"4,926",13.278,0.011
157,JOURNAL OF ALLERGY AND CLINICAL IMMUNOLOGY,0091-6749,"49,229",13.258,0.084
158,JOURNAL OF CLINICAL INVESTIGATION,0021-9738,"107,818",13.251,0.165
159,PSYCHOLOGICAL BULLETIN,0033-2909,"47,657",13.25,0.026
159,PSYCHOLOGICAL BULLETIN,0033-2909,"47,657",13.25,0.026
161,GENOME BIOLOGY,1474-760X,"34,697",13.214,0.118
162,Materials Horizons,2051-6347,"2,883",13.183,0.009
163,PSYCHOTHERAPY AND PSYCHOSOMATICS,0033-3190,"3,597",13.122,0.006
163,PSYCHOTHERAPY AND PSYCHOSOMATICS,0033-3190,"3,597",13.122,0.006
165,Nano Energy,2211-2855,"23,023",13.12,0.061
166,Applied Physics Reviews,1931-9401,"1,582",12.894,0.006
167,MMWR-MORBIDITY AND MORTALITY WEEKLY REPORT,0149-2195,"24,208",12.888,0.092
168,Annual Review of Marine Science,1941-1405,"3,288",12.867,0.01
169,Living Reviews in Solar Physics,1614-4961,"1,134",12.833,0.004
170,Alzheimers & Dementia,1552-5260,"10,436",12.764,0.03
171,INTERNATIONAL MATERIALS REVIEWS,0950-6608,"4,577",12.703,0.005
172,Journal of Cachexia Sarcopenia and Muscle,2190-6009,"2,207",12.511,0.005
173,Advanced Science,2198-3844,"4,030",12.441,0.012
174,Nature Protocols,1754-2189,"36,821",12.423,0.086
175,Bone Research,2095-4700,977,12.354,0.002
176,Nature Communications,2041-1723,"178,348",12.353,0.926
177,ANNALS OF THE RHEUMATIC DISEASES,0003-4967,"41,994",12.35,0.081
178,ACS Energy Letters,2380-8195,"3,282",12.277,0.009
179,EUROPEAN RESPIRATORY JOURNAL,0903-1936,"36,508",12.244,0.057
180,TRENDS IN PLANT SCIENCE,1360-1385,"18,864",12.149,0.026
181,TRENDS IN PHARMACOLOGICAL SCIENCES,0165-6147,"11,806",12.108,0.018
182,ANGEWANDTE CHEMIE-INTERNATIONAL EDITION,1433-7851,"302,685",12.102,0.571
183,NANO LETTERS,1530-6984,"153,533",12.08,0.331
184,BIOLOGICAL PSYCHIATRY,0006-3223,"42,495",11.984,0.057
185,HUMAN REPRODUCTION UPDATE,1355-4786,"8,378",11.852,0.014
186,TRENDS IN MICROBIOLOGY,0966-842X,"11,344",11.776,0.021
187,Annual Review of Biophysics,1936-122X,"2,721",11.742,0.009
188,BIOLOGICAL REVIEWS,1464-7931,"11,139",11.7,0.017
189,APPLIED CATALYSIS B-ENVIRONMENTAL,0926-3373,"58,730",11.698,0.071
190,PLOS MEDICINE,1549-1676,"24,232",11.675,0.059
191,PROGRESS IN RETINAL AND EYE RESEARCH,1350-9462,"5,926",11.653,0.01
192,MOLECULAR PSYCHIATRY,1359-4184,"18,460",11.64,0.047
193,STUDIES IN MYCOLOGY,0166-0616,"2,777",11.633,0.004
194,DRUG RESISTANCE UPDATES,1368-7646,"2,716",11.63,0.004
195,JOURNAL OF PINEAL RESEARCH,0742-3098,"9,079",11.613,0.009
196,ASTRONOMY AND ASTROPHYSICS REVIEW,0935-4956,"1,752",11.611,0.005
197,NUCLEIC ACIDS RESEARCH,0305-1048,"168,962",11.561,0.402
198,INTERNATIONAL JOURNAL OF COMPUTER VISION,0920-5691,"16,572",11.541,0.025
